"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6826","ENSMUSG00000008398",2304.20824203097,-0.243230042889706,0.0628299396283399,-3.8712442559788,0.000108281222876166,0.000345719450829646
"6827","ENSMUSG00000069792",1261.6996120461,-0.688470989425835,0.177848023517516,-3.87111971113938,0.000108336568897108,0.00034584549326843
"6828","ENSMUSG00000032648",279.344737880382,1.05522775159088,0.272616319325239,3.87074315361129,0.000108504068296327,0.000346329476340093
"6829","ENSMUSG00000034968",37.826522544679,-0.947773695876352,0.244912592001269,-3.86984469900773,0.000108904704197911,0.000347557347091708
"6830","ENSMUSG00000039478",402.278571118631,0.412133947375949,0.106528285075351,3.86877482430544,0.000109383599691218,0.000348983482897147
"6831","ENSMUSG00000050075",45.5746027587711,-1.6077096182767,0.415559182684051,-3.86878616877788,0.000109378511292046,0.000348983482897147
"6832","ENSMUSG00000066233",154.776196229524,0.47760678144728,0.123462213625614,3.86844498751313,0.00010953164089678,0.000349404651888821
"6833","ENSMUSG00000063808",756.393725822459,0.192803974386009,0.0498468529443227,3.86792671949349,0.000109764637926348,0.000350096666027634
"6834","ENSMUSG00000025049",239.816929464101,-0.340135978913756,0.0879509657665107,-3.86733648629553,0.000110030557718672,0.000350893470137655
"6835","ENSMUSG00000062376",828.071198710318,0.280083933751629,0.0724397214437195,3.86644134142942,0.000110435010510756,0.000352131765774896
"6836","ENSMUSG00000051590",46.5705430255371,-1.19430624648949,0.308953230114591,-3.86565385979787,0.00011079197714182,0.000353218307464719
"6837","ENSMUSG00000034674",1053.44685656155,-0.206405656333707,0.0533981109266264,-3.86541120560101,0.000110902191860539,0.000353517971245954
"6838","ENSMUSG00000042121",1989.8767206566,-0.225507732194905,0.058346125529142,-3.86499926344331,0.000111089534871156,0.000354063369842346
"6839","ENSMUSG00000024395",4039.15490863607,0.332758949736618,0.0861020968865674,3.8647020429131,0.000111224890158724,0.000354442938458727
"6840","ENSMUSG00000029599",2312.72866014665,-0.242654419121788,0.0627959680380385,-3.86417196363309,0.000111466676389918,0.00035510959585468
"6841","ENSMUSG00000015843",694.408096815055,0.523015585503782,0.135349692597079,3.86418007657203,0.000111462972083809,0.00035510959585468
"6842","ENSMUSG00000090626",146.351300306437,-0.483271503309854,0.125068694955349,-3.86404850136469,0.000111523062653826,0.000355237303051371
"6843","ENSMUSG00000033751",568.759976982299,0.333367278032223,0.0862870454183209,3.86346845480748,0.000111788335181665,0.000356030246521878
"6844","ENSMUSG00000108591",90.317116856064,0.7310754943965,0.189233500240986,3.86335132767447,0.000111841973080834,0.000356149030000539
"6845","ENSMUSG00000013921",697.264494701419,-0.39577133743154,0.102454586980042,-3.86289525044531,0.000112051063216711,0.00035676272779328
"6846","ENSMUSG00000030878",4856.49522267119,0.377649381185146,0.0977754598976343,3.86241477749657,0.000112271736468867,0.000357413120742404
"6847","ENSMUSG00000025789",41.2988697158324,-0.957443005389678,0.247914201612456,-3.86199337981602,0.000112465614809835,0.000357978035514172
"6848","ENSMUSG00000029530",23.8114125788913,-1.91784577674728,0.496619525165625,-3.86180099565693,0.000112554232651017,0.000358207790069549
"6849","ENSMUSG00000021768",30.6171303209493,-1.05465350101741,0.273139710694059,-3.86122361460182,0.000112820587099331,0.000359003047925658
"6850","ENSMUSG00000025184",976.058562728087,-0.182463138284145,0.0472561533808239,-3.86115088153127,0.00011285418207825,0.000359057524702683
"6851","ENSMUSG00000088357",13.6100465834807,-1.68252429172992,0.435813462633915,-3.86065240289111,0.000113084680511483,0.000359738363314446
"6852","ENSMUSG00000061607",1646.40215786076,-0.263562422261062,0.0682712395826029,-3.86051906882652,0.000113146409926972,0.000359882203436724
"6853","ENSMUSG00000086769",51.2238989012221,0.895524514580827,0.231988216994095,3.8602155151855,0.000113287064141824,0.000360276999256808
"6854","ENSMUSG00000020482",1276.60459633509,0.336347505110933,0.0871432748667206,3.85970696677802,0.000113523074121936,0.000360974887279468
